created_day,median_response_hours,p90_response_hours,within_48h_rate,requests,weekday,forecast_requests,absolute_pct_error,volume_z_score,volume_anomaly
2024-02-05,1.1805555555555556,57.187222222222225,0.884272997032641,9368,Monday,8953.8,0.04421434671221186,0.6958957245097921,False
2024-02-06,4.5962499999999995,62.937222222222225,0.8773006134969326,9378,Tuesday,8995.6,0.04077628492215821,0.646211207133474,False
2024-02-07,4.59375,46.25305555555557,0.9030303030303031,8979,Wednesday,9311.1,0.036986301369863056,-0.47012802762684214,False
2024-02-08,2.400138888888889,131.8244166666667,0.8313609467455622,8739,Thursday,9407.8,0.07653049548003196,-0.9961901974572092,False
2024-02-09,0.7798611111111111,24.448833333333354,0.9298245614035088,8387,Friday,8818.2,0.0514129009180876,-0.6249624827209608,False
2024-02-10,0.72375,14.692861111111103,0.9447674418604651,8006,Saturday,7430.3,0.0719085685735698,0.9482243269083785,False
2024-02-11,1.0163888888888888,31.84338888888894,0.9333333333333333,7256,Sunday,7522.9,0.03678335170893049,-0.3682591429433244,False
2024-02-12,1.2577777777777779,23.088500000000025,0.9300291545189504,8735,Monday,8953.8,0.02504865483686311,-0.2931074043961283,False
2024-02-13,2.5413888888888887,155.34305555555557,0.8621700879765396,7281,Tuesday,8995.6,0.23548963054525482,-2.630154608531163,False
2024-02-14,2.016111111111111,89.62094444444442,0.8844984802431611,8226,Wednesday,9311.1,0.1319110138584975,-1.6466199013490508,False
2024-02-15,2.6858333333333335,67.45166666666667,0.8338368580060423,8429,Thursday,9407.8,0.1161229090046268,-1.4805361215659538,False
2024-02-16,2.500138888888889,114.7430833333333,0.811377245508982,8342,Friday,8818.2,0.05708463198273804,-0.6952707620270688,False
2024-02-17,1.2847222222222223,91.54458333333334,0.7827380952380952,6376,Saturday,7430.3,0.16535445420326225,-1.5984977901795365,False
2024-02-18,0.918611111111111,61.450722222222225,0.8691860465116279,7060,Sunday,7522.9,0.0655665722379603,-0.6744907594765952,False
